site_key,site_name,COMMON NAME,SCIENTIFIC NAME,checklists,individuals
amelia,Amelia,Heermann's Gull,Larus heermanni,0,0
amelia,Amelia,Helmeted Guineafowl,Numida meleagris,0,0
amelia,Amelia,Henslow's Sparrow,Centronyx henslowii,0,0
amelia,Amelia,Hermit Thrush,Catharus guttatus,63,129
amelia,Amelia,Hooded Merganser,Lophodytes cucullatus,15,44
amelia,Amelia,Hooded Warbler,Setophaga citrina,78,158
amelia,Amelia,Horned Grebe,Podiceps auritus,3,3
amelia,Amelia,Horned Lark,Eremophila alpestris,0,0
amelia,Amelia,Horned/Eared Grebe,Podiceps auritus/nigricollis,0,0
amelia,Amelia,House Crow,Corvus splendens,0,0
amelia,Amelia,House Finch,Haemorhous mexicanus,34,84
amelia,Amelia,House Sparrow,Passer domesticus,2,2
amelia,Amelia,House/Purple Finch,Haemorhous mexicanus/purpureus,1,1
amelia,Amelia,Hudsonian Godwit,Limosa haemastica,0,0
amelia,Amelia,Hudsonian Whimbrel,Numenius hudsonicus,0,0
amelia,Amelia,Hydrobates sp.,Hydrobates sp.,0,0
amelia,Amelia,Iceland Gull,Larus glaucoides,0,0
amelia,Amelia,Inca Dove,Columbina inca,0,0
amelia,Amelia,Indian Peafowl,Pavo cristatus,0,0
amelia,Amelia,Indigo Bunting,Passerina cyanea,186,1137
amelia,Amelia,Island Canary,Serinus canaria,0,0
amelia,Amelia,Kentucky Warbler,Geothlypis formosa,21,37
amelia,Amelia,Killdeer,Charadrius vociferus,7,8
amelia,Amelia,King Eider,Somateria spectabilis,0,0
amelia,Amelia,King Rail,Rallus elegans,0,0
amelia,Amelia,King/Clapper Rail,Rallus elegans/crepitans,0,0
amelia,Amelia,King/Common Eider,Somateria spectabilis/mollissima,0,0
amelia,Amelia,King/Virginia Rail,Rallus elegans/limicola,0,0
amelia,Amelia,Kirtland's Warbler,Setophaga kirtlandii,0,0
amelia,Amelia,Lady Amherst's Pheasant,Chrysolophus amherstiae,0,0
amelia,Amelia,Lapland Longspur,Calcarius lapponicus,0,0
amelia,Amelia,Lark Bunting,Calamospiza melanocorys,0,0
amelia,Amelia,Lark Sparrow,Chondestes grammacus,0,0
amelia,Amelia,Larus sp.,Larus sp.,0,0
amelia,Amelia,Laughing Gull,Leucophaeus atricilla,0,0
amelia,Amelia,Laughing/Franklin's Gull,Leucophaeus atricilla/pipixcan,0,0
amelia,Amelia,Lawrence's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F2 backcross),0,0
amelia,Amelia,Lazuli Bunting,Passerina amoena,0,0
amelia,Amelia,Lazuli/Indigo Bunting,Passerina amoena/cyanea,0,0
amelia,Amelia,LeConte's Sparrow,Ammospiza leconteii,0,0
amelia,Amelia,Leach's Storm-Petrel,Hydrobates leucorhous,0,0
amelia,Amelia,Least Bittern,Botaurus exilis,0,0
amelia,Amelia,Least Flycatcher,Empidonax minimus,1,1
amelia,Amelia,Least Sandpiper,Calidris minutilla,0,0
amelia,Amelia,Least Tern,Sternula antillarum,0,0
amelia,Amelia,Leiothlypis sp.,Leiothlypis sp.,0,0
amelia,Amelia,Lesser Black-backed Gull,Larus fuscus,0,0
amelia,Amelia,Lesser Goldfinch,Spinus psaltria,0,0
amelia,Amelia,Lesser Scaup,Aythya affinis,2,12
amelia,Amelia,Lesser Yellowlegs,Tringa flavipes,0,0
amelia,Amelia,Lesser/Greater Yellowlegs,Tringa flavipes/melanoleuca,0,0
amelia,Amelia,Lewis's Woodpecker,Melanerpes lewis,0,0
amelia,Amelia,Limpkin,Aramus guarauna,0,0
amelia,Amelia,Lincoln's Sparrow,Melospiza lincolnii,1,1
amelia,Amelia,Lincoln's/Swamp Sparrow,Melospiza lincolnii/georgiana,0,0
amelia,Amelia,Little Blue Heron,Egretta caerulea,1,0
amelia,Amelia,Little Egret,Egretta garzetta,0,0
amelia,Amelia,Little Gull,Hydrocoloeus minutus,0,0
amelia,Amelia,Loggerhead Shrike,Lanius ludovicianus,0,0
amelia,Amelia,Long-billed Curlew,Numenius americanus,0,0
amelia,Amelia,Long-billed Dowitcher,Limnodromus scolopaceus,0,0
amelia,Amelia,Long-eared Owl,Asio otus,0,0
amelia,Amelia,Long-eared/Short-eared Owl,Asio otus/flammeus,0,0
amelia,Amelia,Long-tailed Duck,Clangula hyemalis,0,0
